building,street,landmark,locality,vtc,district,state
#1085 Pattabhi Ram Shastry Lane,,,Nagarath Pet Cross,Bangalore North,Bangalore,Karnataka
NO 40,STORE STREET,NEAR POPULAR NURSING HOME,KALASIPALYA,Bangalore North,Bangalore,Karnataka
#15b new gangama chart street,mothi nagar,,mothinagar,Bangalore North,Bangalore,Karnataka
#39,3rd Cross,Near New Bomboo Bazaar,Kalasipalyam,Bangalore North,Bangalore,Karnataka
#5 admatha,1s cross,mujawar transport,J C road cross,Bangalore North,Bangalore,Karnataka
"#76 , 79",Gudapan Street,,City Market,Bangalore North,Bangalore,Karnataka
no 141,,,cubbon pet main road,Bangalore,Bangalore,Karnataka
#965,SHER KHAN ROAD,DHARMARAYA TEMPLE,NAGARATH PET,Bangalore North,Bangalore,Karnataka
"26, 1st Floor","Andanappa lane, K R Shetty pet","Mysore Bank, Avenue Road",,Bangalore North,Bangalore,Karnataka
NO 50,J C ROAD,MAURYA HOTEL,THAYAPPA LAYOUT,Bangalore,Bangalore,Karnataka
#64-3,Ganigara A Lane Ulssor Pete,,Chamarajapete,Bangalore City,Bangalore,Karnataka
#4 ground floor,express new city complex,,13 N R ROAD,Bangalore North,Bangalore,Karnataka
#A-4/1,O T C ROAD,Near pai vihar,chamrajpete,Bangalore North,Bangalore,Karnataka
#10/4 4th floor Mahalakshmi residency,24th cross,,Cubbonpet main  road,Bangalore North,Bangalore,Karnataka
#8,Fort F Street,NULL,Kalasipalyam,Bangalore North,Bangalore,Karnataka
#A-4/1,O T C ROAD,NEAR PAI VIHAR,chamrajpete,Bangalore North,Bangalore,Karnataka
"#219/3,3rd Floor, Dattathraya Nilaya",Cubbonpete Main Road,"opp,Silk Exchange Board",Cubbonpete,Bangalore North,Bangalore,Karnataka
# 29/5,"M S LANE, CUBBON PET",,"NARAYANASHETTY LANE, J M ROAD CROSS",Bangalore,Bangalore,Karnataka
"NO, 10",GANIGAR C LANE,JUMMA MASJID,NAGRATH PET CROSS,Bangalore,Bangalore,Karnataka
# 19/1,15TH CROSS,,CUBBON PET,Bangalore,Bangalore,Karnataka
# 19/1,15TH CROSS,,CUBBON PET,Bangalore,Bangalore,Karnataka
